ASIN Code,Parent ASIN,SKU,Product Title,Brand,Category,Status,Tags,Current Price (₹),MRP (₹),Deal Badge,Price Type,Discount %,Second ASP (₹),ASP Difference (₹),Best Seller Rank,Sub BSR,Sub BSRs (All),Rating,Review Count,Rating Breakdown,LQS Score,Title Score,Bullet Score,Image Score,Description Score,CDQ Score,CDQ Grade,BuyBox Winner,Sold By (Current BuyBox),Sold By (Other BuyBox),allOffers,Has A+ Content,Image Count,Video Count,Bullet Points Count,bulletPointsText,descLength,Availability Status,Stock Level,A+ Days Absent,aplusPresentSince,Last Scraped,Created At,Updated At
B0CQBZH7HK,,Girls Leather skirt Brown-Velvet Red 3,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC2NXGL,,Girls Leather skirt Brown-Velvet Red 4,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#323 in Baby Girls' Clothing Sets,"[""#323 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC2Z37V,,Girls Leather skirt Brown-Velvet Red 8,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC34VCZ,,Girls Leather skirt Pink-Black 8,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC3VZHS,,Girls Leather skirt Pink-Black 6,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC48HVW,,Girls Leather skirt Pink-Black 2,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC48WSP,,Girls Leather skirt Brown-Black 7,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC4J7V5,,Girls Leather skirt Brown-Black 2,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC4TSKP,,Girls Leather skirt Brown-Black 6,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Baby › Baby Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,#370 in Baby Girls' Clothing Sets,"[""#370 in Baby Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
B0CQC51S8Z,,Girls Leather skirt Brown-Black 4,HIKUJ Baby Girls Ribbed Long Sleeve High Neck T Shirt With PU Leather A Line Pleated Skirt Set Regular Fit 2 Piece Clothing Set For Toddlers,,Clothing & Accessories › Girls › Clothing Sets,Active,,371,999,No deal found,Standard Price,63,,,,"#1,687 in Girls' Clothing Sets","[""#1,687 in Girls' Clothing Sets""]",4.1,98,"{""fiveStar"":60,""fourStar"":14,""threeStar"":12,""twoStar"":6,""oneStar"":8}",,88,101,78,65,,,No,Cocoblu Retail,,"[{""seller"":""Cocoblu Retail"",""price"":371,""isBuyBoxWinner"":true}]",Yes,6,1,5,"[""PU soft Leather skirt"",""Poycotton Knitt long Sleeve Top"",""Pull on short Skirt"",""Lightweight, breathable materials like for all season"",""baby girls western wear fashion style""]",, In stock ,,,4/28/26,,28/4/2026,28/4/2026
