"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags"
"B0831C5NGT","B0CSKSG55Z","GT01_FullStriped_Vneck_YP1_S","Fabricorn Stylish Striped V-Neck Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","2243","3.6","323","74","Cocoblu Retail","365 + Days"
"B0831C97BR","B0CSKSG55Z","GT01_FullStriped_Vneck_YP1_M","Fabricorn Stylish Striped V-Neck Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","3359","3.6","323","83","Cocoblu Retail","365 + Days"
"B0852NMB2S","B0DH3FWQ5N","GT01_Blu_HighNeck1_L","Fabricorn Plain Stylish High Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","2277","4.1","210","81","Cocoblu Retail","365 + Days"
"B085DXW5HL","B0DGGZZBJ4","GT01_Blk_CrossNeck_M","Fabricorn Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","562","3.9","2023","88","Cocoblu Retail","365 + Days"
"B085DZ5Z81","B0DGGZZBJ4","GT01_Blk_CrossNeck_L","Fabricorn Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","617","3.9","2024","33","Cocoblu Retail","365 + Days, Price Dispute"
"B085LG89XZ","B0DJ18Q93R","GT02_GryBlk_BlkMeshRglnSlv_S","Fabricorn Grey Melange with Black Mesh Sleeve Cotton Tshirt for Women (Grey Melange)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","6214","3.8","298","83","Cocoblu Retail","365 + Days, Price Dispute"
"B085NXVDV6","B0DHY2JBFC","GT05_BrtYlw_BlkHeart_XS","Fabricorn Plain Yellow Heart Printed Cotton Tshirt for Women (Yellow)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199",,"3","11","88","Cocoblu Retail","365 + Days"
"B085NYSK33","B0DHY2JBFC","GT05_BrtYlw_BlkHeart_XXL","Fabricorn Plain Yellow Heart Printed Cotton Tshirt for Women (Yellow)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199",,"3","11","88","Cocoblu Retail","365 + Days"
"B085W8XWGX","B0CMDPGKNF","GT01_Blk_BlkMeshRglnSlv_S","Fabricorn Women's Solid Regular Fit T-Shirt","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","359","1199","22570","3.7","72","84","Cocoblu Retail","365 + Days"
"B085W8Y1DB","B0CMDPGKNF","GT01_Blk_BlkMeshRglnSlv_M","Fabricorn Women's Solid Regular Fit T-Shirt","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","22559","3.7","72","32","Cocoblu Retail","365 + Days"
