"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags","Deal Badge","Discount %"
"B0CRZ6BD1G",,"22090-NW","New Ware Lab Cock Three Way Tap with 360 Degree Swivel Brass Spout Swan Neck Pillar Chrome Finish Heavy Brass Laboratory Faucet",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","4079","5999",,"3.9","4","85","Clicktech Retail Private Ltd",,"Ends in 21 hours 48 minutes...","32"
"B0CSP797JR",,"22123-FBA",,,,,,,,,,,,,"0"
"B0CST1LDQS",,"19650-PACK-OF-2",,,,,,,,,,,,,"0"
"B0CST36TGS",,"19650-PACK-OF-4","NEW WARE 40 mm Bath Tub Chain Plug Drain Silver Bathroom Sink Basin Stopper Plug with Chain Bathtub Accessory Bathtub Sealer Cover 1.5 Inch",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Bathroom Sink & Bathtub Accessories","554","1599","799","2.4","3","87","Clicktech Retail Private Ltd",,"No deal found","65"
"B0CT3LPKPG",,"81110",,,,,,,,,,,,,"0"
"B0CT3LZ2DK",,"81050",,,,,,,,,,,,,"0"
"B0CT3N69V3",,"81020","New Ware Brass Matte Black Hot & Cold Single for Home, Bathroom, Kitchen Faucet with 15 cm Tall Body Faucets Mixer Taps",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Bathroom Basin Taps › Touch On Taps","1989","3979",,"3.7","33","85","Clicktech Retail Private Ltd",,"No deal found","50"
"B0CT3NZ8V8",,"81030","New Ware® Brass Angle Valve Matte Black | Wall Mount Stop Cock Valve with Flange | Bathroom Kitchen Wash Basin Tap for Health Faucet",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Pipe Fittings & Accessories › Angle Valves","1349","1599",,"3.7","33","75","Clicktech Retail Private Ltd",,"Ends in 22 hours 5 minutes ...","16"
"B0CT3P8XRL",,"81200","New Ware® Tall Body Pillar Cock 34 cm | Matte Black Basin Faucet with Mixer | Brass Wash Basin Tap for Bathroom Sink",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Bathroom Basin Taps › Touch On Taps","3755","8979",,"3.7","33","71","Clicktech Retail Private Ltd",,"No deal found","58"
"B0CT3P9L4R",,"81010",,,,,,,,,,,,,"0"
