"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags"
"B08QRZ4FJ2",,"23170-(Pack of 4)","NEW WARE CP Extension Nipple Brass 1 Inch | Chrome Finish Pipe Fitting for Taps & Plumbing | Pack of 4","809-New Ware","Industrial & Scientific › Hydraulics, Pneumatics & Plumbing › Fittings › Pipe Fittings › Nipples","379","759",,"3.7","9","74","Clicktech Retail Private Ltd",
"B08QRZ6T3X",,"23200-(Pack of 6)","NEW WARE CP Brass Extension Nipple 2.5 Inch Chrome Finish Corrosion Resistant Pipe Fitting Tap Cock and Pipe Joiner for Plumbing Systems Pack of 6","809-New Ware","Industrial & Scientific › Hydraulics, Pneumatics & Plumbing › Fittings › Pipe Fittings › Nipples","1339","1399",,"4.5","2","77","Clicktech Retail Private Ltd",
"B08QS3XC5D",,"23200-(Pack of 8)",,"809-New Ware",,,,,,,,,
"B08QTSYHG1",,"23230-(Pack of 2)",,"809-New Ware",,,,,,,,,
"B08QV183XM",,"23210-(Pack of 10)",,"809-New Ware",,,,,,,,,
"B08QV8NSZ6",,"23210-(Pack of 2)",,"809-New Ware",,,,,,,,,
"B08QV8P4LQ",,"23210-(Pack of 4)",,"809-New Ware",,,,,,,,,
"B08QVBK7F2",,"23220-(Pack of 4)",,"809-New Ware",,,,,,,,,
"B08QVFKYWX",,"23220-(Pack of 12)",,"809-New Ware",,,,,,,,,
"B08QVFXF1T",,"23230-(Pack of 10)",,"809-New Ware",,,,,,,,,
"B08QVKDW3X",,"23220-(Pack of 2)","NEW WARE CP Brass Extension Nipple 4 Inch | 15 mm (0.5 Inch) Chrome Plated Pipe Connector | Pack of 2","809-New Ware","Industrial & Scientific › Hydraulics, Pneumatics & Plumbing › Fittings › Pipe Fittings › Nipples","699","1050",,"3.9","23","87","Clicktech Retail Private Ltd",
"B08QVR11TQ",,"23220-(Pack of 8)",,"809-New Ware",,,,,,,,,
"B08QVXL65F",,"23411-(Pack of 2)",,"809-New Ware",,,,,,,,,
"B08QYQSGXB",,"23411-(Pack of 3)",,"809-New Ware",,,,,,,,,
"B08QYV6JT2",,"23411-(Pack of 6)",,"809-New Ware",,,,,,,,,
"B08R72DLPZ",,"21056+21562","NEW WARE 6 Meter PVC Hose Inlet Pipe for Top and Front Loading Fully Automatic Washing Machine with Faucet Water Tap Adapter Textile Braided ABS Connector","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","769","1539",,"4.1","12","86","Clicktech Retail Private Ltd",
"B08R9WXNGT",,"75040",,"809-New Ware",,,,,,,,,
"B08THHR229",,"26210-(Pack of 1)",,"809-New Ware",,,,,,,,,
"B08VMWV94P",,"21055-(15 Mtr Auto Top)",,"809-New Ware",,,,,,,,,
"B08VRT5NBV",,"16180-(Pack of 3)",,"809-New Ware",,,,,,,,,
"B08WBY65B2",,"21030+21080+21562",,"809-New Ware",,,,,,,,,
"B08WC4KXPL",,"21020+21070+21562",,"809-New Ware",,,,,,,,,
"B08WCH9HN9",,"21040+21091+21562",,"809-New Ware",,,,,,,,,
"B08WR637MG",,"27030",,"809-New Ware",,,,,,,,,
"B08WRCLJ55",,"27050",,"809-New Ware",,,,,,,,,
"B08WRGHH4D",,"27010","NEW WARE Plastic Toilet Seat Cover Hinges | CERA Type Square Clamp | White WC Seat Hinge Replacement (1 Pair)","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","251","499",,"3.6","9","79","Clicktech Retail Private Ltd",
"B08WRS4XFX",,"27080","NEW WARE Plastic Toilet Seat Cover Hinges Hind Type Long Casket Design | Durable Replacement Fitting for Western Toilets (White)","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats",,,"288","3.3","33","84","Clicktech Retail Private Ltd",
