asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0DV3PQRSK,"""None""","""2026-04-20""",1414.28,205.41,101,12676,3,0.029703,0.1452,6.89,0.008,2.03,3,942.86,2,,,,,0.0,,0,0,0,174,,,471.426667,0,,0,0
B0DV3PQRSK,"""None""","""2026-04-21""",1414.29,163.99,76,9999,3,0.039474,0.116,8.62,0.0076,2.16,3,942.86,2,,,,,471.43,34.79,1,0,0,153,300.0,,471.43,0,,0,0
B0DV3PQRSK,"""None""","""2026-04-27""",1402.86,88.17,40,5039,3,0.075,0.0629,15.91,0.0079,2.2,3,1402.86,3,,,,,471.43,18.7,1,0,0,92,297.58,,467.62,0,,0,0
B0BYVCVVXB,"""None""","""2026-04-02""",760.0,5.76,4,916,3,0.75,0.0076,131.94,0.0044,1.44,3,0,0,,,,,0,,0,0,0,18,,,253.333333,0,,0,0
B0DV3NCG2D,"""None""","""2026-04-03""",1414.29,235.23,123,22397,3,0.02439,0.1663,6.01,0.0055,1.91,3,1414.29,3,,,,,1414.29,16.63,3,0,0,258,100.0,,471.43,0,,0,0
B0DV3NCG2D,"""None""","""2026-04-11""",1414.29,174.2,85,15270,3,0.035294,0.1232,8.12,0.0056,2.05,3,942.86,2,,,,,2357.14,7.39,5,942.85,2,198,60.0,,471.43,0,,0,0
B0DV3NCG2D,"""None""","""2026-04-18""",1414.29,292.35,128,23258,3,0.023438,0.2067,4.84,0.0055,2.28,3,942.86,2,,,,,1885.7,15.5,4,471.41,1,277,75.0,,471.43,0,,0,0
B0CG26NGBX,"""None""","""2026-04-15""",1301.86,20.47,6,1310,3,0.5,0.0157,63.6,0.0046,3.41,3,826.62,2,,,,,0.0,,0,0,0,42,,,433.953333,0,,0,0
B0CJJPRR6Z,"""None""","""2026-04-14""",1365.71,90.02,44,15622,3,0.068182,0.0659,15.17,0.0028,2.05,3,423.81,1,,,,,0,,0,0,0,71,,,455.236667,0,,0,0
B0CJJPRR6Z,"""None""","""2026-04-19""",1461.91,99.78,42,14954,3,0.071429,0.0683,14.65,0.0028,2.38,3,0,0,,,,,519.05,19.22,1,0,0,61,281.65,,487.303333,0,,0,0
B0CJNWBMFZ,"""None""","""2026-04-02""",1122.86,28.52,3,1447,3,1.0,0.0254,39.37,0.0021,9.51,3,0,0,,,,,0.0,,0,0,0,3,,,374.286667,0,,0,0
B0DFPJ1BKW,"""None""","""2026-04-01""",1414.29,127.72,41,6152,3,0.073171,0.0903,11.07,0.0067,3.12,3,942.86,2,,,,,,,,,,,,,471.43,,,,
B0DFPJ1BKW,"""None""","""2026-04-02""",1413.34,169.53,58,5923,3,0.051724,0.1199,8.34,0.0098,2.92,3,1413.34,3,,,,,,,,,,,,,471.113333,,,,
B0DFPJ1BKW,"""None""","""2026-04-03""",1414.29,182.0,63,6432,3,0.047619,0.1287,7.77,0.0098,2.89,3,942.86,2,,,,,,,,,,,,,471.43,,,,
B0DFPJ1BKW,"""None""","""2026-04-06""",1418.1,106.18,39,4105,3,0.076923,0.0749,13.36,0.0095,2.72,3,471.43,1,,,,,,,,,,,,,472.7,,,,
B0DFPJ1BKW,"""None""","""2026-04-12""",1461.91,222.64,77,7975,3,0.038961,0.1523,6.57,0.0097,2.89,3,1461.91,3,,,,,,,,,,,,,487.303333,,,,
B0DFPJ1BKW,"""None""","""2026-04-15""",1414.29,528.48,189,40951,3,0.015873,0.3737,2.68,0.0046,2.8,3,942.86,2,,,,,,,,,,,,,471.43,,,,
B0DFPJ1BKW,"""None""","""2026-04-22""",1414.29,637.37,234,58858,3,0.012821,0.4507,2.22,0.004,2.72,3,942.86,2,,,,,,,,,,,,,471.43,,,,
B0DFPJ1BKW,"""None""","""2026-04-27""",1414.29,367.04,128,23445,3,0.023438,0.2595,3.85,0.0055,2.87,3,1414.29,3,,,,,,,,,,,,,471.43,,,,
