asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0D9623JFV,"""None""","""2026-05-30""",895.24,110.4,25,3196,2,0.08,0.1233,8.11,0.0078,4.42,2,0,0,,,,,0.0,,0,0,0,38,,,447.62,0,,0,0
B0C4TRLNYR,"""None""","""2026-05-17""",1369.53,4.42,3,17,2,0.666667,0.0032,309.85,0.1765,1.47,2,522.86,1,,,,,0,,0,0,0,5,,,684.765,0,,0,0
B0D94WGPRS,"""None""","""2026-05-01""",942.86,143.48,43,9268,2,0.046512,0.1522,6.57,0.0046,3.34,2,471.43,1,,,,,0.0,,0,0,0,69,,,471.43,0,,0,0
B0D94WGPRS,"""None""","""2026-05-02""",889.53,105.66,35,6541,2,0.057143,0.1188,8.42,0.0054,3.02,2,0,0,,,,,471.43,22.41,1,0,0,64,188.69,,444.765,0,,0,0
B0D94WGPRS,"""None""","""2026-05-26""",948.58,194.42,50,9891,2,0.04,0.205,4.88,0.0051,3.89,2,474.29,1,,,,,0.0,,0,0,0,72,,,474.29,0,,0,0
B0D94WGPRS,"""None""","""2026-05-31""",895.24,178.99,45,12116,2,0.044444,0.1999,5.0,0.0037,3.98,2,447.62,1,,,,,447.62,39.99,1,0,0,73,200.0,,447.62,0,,0,0
B0DFMLG4NV,"""None""","""2026-05-03""",471.43,13.29,5,524,2,0.4,0.0282,35.47,0.0095,2.66,2,471.43,2,,,,,0,,0,0,0,11,,,235.715,0,,0,0
B0DV3GND57,"""None""","""2026-05-18""",949.53,81.64,43,4877,2,0.046512,0.086,11.63,0.0088,1.9,2,949.53,2,,,,,474.29,17.21,1,0,0,54,200.2,,474.765,0,,0,0
B0DV3GND57,"""None""","""2026-05-22""",474.29,16.73,8,601,2,0.25,0.0353,28.35,0.0133,2.09,2,474.29,2,,,,,0,,0,0,0,11,,,237.145,0,,0,0
B0DV3GND57,"""None""","""2026-05-28""",922.86,94.32,39,6248,2,0.051282,0.1022,9.78,0.0062,2.42,2,922.86,2,,,,,0,,0,0,0,53,,,461.43,0,,0,0
B0DV3V88Q8,"""None""","""2026-05-27""",950.48,9.06,3,399,2,0.666667,0.0095,104.91,0.0075,3.02,2,950.48,2,,,,,0,,0,0,0,6,,,475.24,0,,0,0
B0FP5DVMYB,"""None""","""2026-05-17""",921.91,39.73,14,1882,2,0.142857,0.0431,23.2,0.0074,2.84,2,921.91,2,,,,,0,,0,0,0,15,,,460.955,0,,0,0
B0B9NH2Q72,"""None""","""2026-05-13""",1010.47,9.77,7,4117,2,0.285714,0.0097,103.43,0.0017,1.4,2,0,0,,,,,0,,0,0,0,9,,,505.235,0,,0,0
B0DFMKT9HL,"""None""","""2026-05-07""",471.43,6.42,4,702,2,0.5,0.0136,73.43,0.0057,1.6,2,471.43,2,,,,,0,,0,0,0,5,,,235.715,0,,0,0
B0D9RXMTRW,"""None""","""2026-05-03""",942.86,0.27,1,13,2,2.0,0.0003,3492.07,0.0769,0.27,2,942.86,0,,,,,0,,0,0,0,1,,,471.43,0,,0,0
B0FP5D4CG8,"""None""","""2026-05-07""",950.48,11.8,5,651,2,0.4,0.0124,80.55,0.0077,2.36,2,950.48,2,,,,,471.43,2.5,1,0,0,8,201.62,,475.24,0,,0,0
B09BZC1TN7,"""None""","""2026-05-06""",1038.1,15.59,9,961,2,0.222222,0.015,66.59,0.0094,1.73,2,519.05,1,,,,,519.05,3.0,1,0,0,38,200.0,,519.05,0,,0,0
B0FP5DLBJY,"""None""","""2026-05-10""",845.72,2.79,1,16,2,2.0,0.0033,303.13,0.0625,2.79,2,845.72,2,,,,,0,,0,0,0,4,,,422.86,0,,0,0
B0FP5KHG7B,"""None""","""2026-05-06""",471.43,2.32,1,58,1,1.0,0.0049,203.2,0.0172,2.32,1,471.43,1,,,,,0,,0,0,0,4,,,471.43,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-02""",475.24,86.37,26,2666,1,0.038462,0.1817,5.5,0.0098,3.32,1,0,0,,,,,0,,0,0,0,28,,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-03""",475.24,110.06,31,4161,1,0.032258,0.2316,4.32,0.0075,3.55,1,0,0,,,,,950.48,11.58,2,475.24,1,50,50.0,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-06""",475.24,138.18,42,6201,1,0.02381,0.2908,3.44,0.0068,3.29,1,475.24,1,,,,,0.0,,0,0,0,61,,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-08""",475.24,55.4,19,1988,1,0.052632,0.1166,8.58,0.0096,2.92,1,0,0,,,,,0.0,,0,0,0,21,,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-09""",418.1,30.08,11,711,1,0.090909,0.0719,13.9,0.0155,2.73,1,0,0,,,,,0,,0,0,0,16,,,418.1,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-11""",451.43,120.07,38,6624,1,0.026316,0.266,3.76,0.0057,3.16,1,0,0,,,,,0.0,,0,0,0,44,,,451.43,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-13""",451.43,113.39,38,3603,1,0.026316,0.2512,3.98,0.0105,2.98,1,451.43,1,,,,,0.0,,0,0,0,44,,,451.43,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-14""",439.05,24.35,9,1075,1,0.111111,0.0555,18.03,0.0084,2.71,1,0,0,,,,,451.43,5.39,1,12.38,0,12,97.26,,439.05,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-20""",475.24,30.68,12,1671,1,0.083333,0.0646,15.49,0.0072,2.56,1,475.24,1,,,,,0,,0,0,0,13,,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-23""",475.24,30.84,12,1127,1,0.083333,0.0649,15.41,0.0106,2.57,1,0,0,,,,,0.0,,0,0,0,19,,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-25""",475.24,81.67,33,12148,1,0.030303,0.1719,5.82,0.0027,2.47,1,0,0,,,,,0,,0,0,0,41,,,475.24,0,,0,0
B0GGJC28GZ,"""None""","""2026-05-31""",447.62,75.92,25,2212,1,0.04,0.1696,5.9,0.0113,3.04,1,0,0,,,,,0,,0,0,0,32,,,447.62,0,,0,0
B09XR5ZHY6,"""None""","""2026-05-02""",522.86,1.74,1,68,1,1.0,0.0033,300.49,0.0147,1.74,1,0,0,,,,,0,,0,0,0,5,,,522.86,0,,0,0
B0GCFYL48M,"""None""","""2026-05-05""",475.24,29.54,9,758,1,0.111111,0.0622,16.09,0.0119,3.28,1,0,0,,,,,0,,0,0,0,11,,,475.24,0,,0,0
B0GCFYL48M,"""None""","""2026-05-21""",475.24,15.24,4,102,1,0.25,0.0321,31.18,0.0392,3.81,1,0,0,,,,,0,,0,0,0,6,,,475.24,0,,0,0
B0GCFYL48M,"""None""","""2026-05-25""",474.29,64.66,20,3026,1,0.05,0.1363,7.34,0.0066,3.23,1,474.29,1,,,,,0,,0,0,0,27,,,474.29,0,,0,0
B0GCFYL48M,"""None""","""2026-05-31""",475.24,19.73,7,242,1,0.142857,0.0415,24.09,0.0289,2.82,1,0,0,,,,,0,,0,0,0,15,,,475.24,0,,0,0
B0DV35K8G9,"""None""","""2026-05-05""",471.43,7.66,4,163,1,0.25,0.0162,61.54,0.0245,1.92,1,471.43,1,,,,,0,,0,0,0,5,,,471.43,0,,0,0
B0DV35K8G9,"""None""","""2026-05-26""",475.24,23.5,12,1166,1,0.083333,0.0494,20.22,0.0103,1.96,1,475.24,1,,,,,475.24,4.94,1,0,0,41,100.0,,475.24,0,,0,0
B0FNX6HQZQ,"""None""","""2026-05-10""",722.86,13.7,5,141,1,0.2,0.019,52.76,0.0355,2.74,1,0,0,,,,,0,,0,0,0,6,,,722.86,0,,0,0
B0FNX6HQZQ,"""None""","""2026-05-27""",760.95,16.33,5,167,1,0.2,0.0215,46.6,0.0299,3.27,1,0,0,,,,,0,,0,0,0,6,,,760.95,0,,0,0
B0GCF5LPZV,"""None""","""2026-05-01""",475.24,3.13,1,145,1,1.0,0.0066,151.83,0.0069,3.13,1,0,0,,,,,0,,0,0,0,4,,,475.24,0,,0,0
B0GCF5LPZV,"""None""","""2026-05-08""",475.24,4.05,1,357,1,1.0,0.0085,117.34,0.0028,4.05,1,0,0,,,,,0,,0,0,0,3,,,475.24,0,,0,0
B0GCF5LPZV,"""None""","""2026-05-24""",475.24,37.29,11,5661,1,0.090909,0.0785,12.74,0.0019,3.39,1,0,0,,,,,0.0,,0,0,0,19,,,475.24,0,,0,0
B0GCF5LPZV,"""None""","""2026-05-25""",473.33,47.74,16,5754,1,0.0625,0.1009,9.91,0.0028,2.98,1,0,0,,,,,0.0,,0,0,0,23,,,473.33,0,,0,0
