asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0G4SC6JRS,"""None""","""2026-04-13""",1514.28,17.13,8,1291,2,0.25,0.0113,88.4,0.0062,2.14,2,0,0,,,,,0,,0,0,0,21,,,757.14,0,,0,0
B0G4SC6JRS,"""None""","""2026-04-29""",1514.28,226.89,78,18335,2,0.025641,0.1498,6.67,0.0043,2.91,2,757.14,1,,,,,757.14,29.97,1,0,0,96,200,,757.14,0,,0,0
B0G4S87JCY,"""None""","""2026-04-12""",1514.28,55.99,23,5777,2,0.086957,0.037,27.05,0.004,2.43,2,757.14,1,,,,,0,,0,0,0,57,,,757.14,0,,0,0
B0G4S87JCY,"""None""","""2026-04-21""",1514.28,42.02,24,4543,2,0.083333,0.0277,36.04,0.0053,1.75,2,0,0,,,,,0,,0,0,0,53,,,757.14,0,,0,0
B0G4S87JCY,"""None""","""2026-04-28""",1712.38,20.92,11,1948,2,0.181818,0.0122,81.85,0.0056,1.9,2,0,0,,,,,757.14,2.76,1,0,0,29,226.16,,856.19,0,,0,0
B0G4VGSBM3,"""None""","""2026-04-14""",757.14,2.28,1,37,2,2,0.003,332.08,0.027,2.28,2,0,0,,,,,0,,0,0,0,8,,,378.57,0,,0,0
B0G4SFKZX9,"""None""","""2026-04-17""",1514.28,78.85,39,4147,2,0.051282,0.0521,19.2,0.0094,2.02,2,0,0,,,,,757.14,10.41,1,0,0,60,200,,757.14,0,,0,0
B0G4SFKZX9,"""None""","""2026-04-19""",1518.09,23.13,9,1003,2,0.222222,0.0152,65.63,0.009,2.57,2,760.95,1,,,,,0,,0,0,0,31,,,759.045,0,,0,0
B0G4SFKZX9,"""None""","""2026-04-21""",1518.09,21.13,8,1115,2,0.25,0.0139,71.85,0.0072,2.64,2,760.95,1,,,,,0,,0,0,0,24,,,759.045,0,,0,0
B0G4SBFYTN,"""None""","""2026-04-27""",1514.28,34.78,11,1987,2,0.181818,0.023,43.54,0.0055,3.16,2,0,0,,,,,0,,0,0,0,26,,,757.14,0,,0,0
B0G4SGKQ78,"""None""","""2026-04-10""",3028.56,48.81,17,1795,4,0.117647,0.0161,62.05,0.0095,2.87,2,3028.56,4,,,,,760.95,6.41,1,0,0,26,398,,1514.28,0,,0,0
B0G4SGKQ78,"""None""","""2026-04-28""",1413.33,2.06,1,5,2,2,0.0015,686.08,0.2,2.06,2,1413.33,2,,,,,0,,0,0,0,11,,,706.665,0,,0,0
B0FDGLQ8WM,"""None""","""2026-04-30""",1514.28,18.25,9,308,2,0.222222,0.0121,82.97,0.0292,2.03,2,0,0,,,,,713.33,2.56,1,0,0,46,212.28,,757.14,0,,0,0
B0FDGLRNJX,"""None""","""2026-04-18""",1419.04,70.53,34,2909,2,0.058824,0.0497,20.12,0.0117,2.07,2,1419.04,2,,,,,1419.04,4.97,2,0,0,69,100,,709.52,0,,0,0
B0FDGLRNJX,"""None""","""2026-04-20""",1561.9,91.57,32,5707,2,0.0625,0.0586,17.06,0.0056,2.86,2,0,0,,,,,1419.04,6.45,2,0,0,71,110.07,,780.95,0,,0,0
B0FDGLRNJX,"""None""","""2026-04-21""",1466.66,76.79,26,5193,2,0.076923,0.0524,19.1,0.005,2.95,2,709.52,1,,,,,709.52,10.82,1,0,0,53,206.71,,733.33,0,,0,0
B0FDGLYMBZ,"""None""","""2026-04-15""",1422.85,87.62,60,8135,2,0.033333,0.0616,16.24,0.0074,1.46,2,709.52,1,,,,,709.52,12.35,1,0,0,92,200.54,,711.425,0,,0,0
B0FDGLYMBZ,"""None""","""2026-04-16""",1474.28,40.02,18,2468,2,0.111111,0.0271,36.84,0.0073,2.22,2,713.33,1,,,,,3.81,1050.39,0,0,0,49,38695.01,,737.14,0,,0,0
B0FDGLYMBZ,"""None""","""2026-04-27""",1514.28,48.66,20,3813,2,0.1,0.0321,31.12,0.0052,2.43,2,0,0,,,,,709.52,6.86,1,0,0,58,213.42,,757.14,0,,0,0
B0FDGLYMBZ,"""None""","""2026-04-29""",1419.04,132.36,50,3679,2,0.04,0.0933,10.72,0.0136,2.65,2,1419.04,2,,,,,709.52,18.65,1,0,0,73,200,,709.52,0,,0,0
B0G4SCVJS5,"""None""","""2026-04-14""",757.14,3.17,1,92,2,2,0.0042,238.85,0.0109,3.17,2,757.14,2,,,,,0,,0,0,0,62,,,378.57,0,,0,0
B0FDGJVFWS,"""None""","""2026-04-12""",709.52,14.24,10,585,2,0.2,0.0201,49.83,0.0171,1.42,2,0,1,,,,,1419.04,1,2,709.52,0,35,50,,354.76,0,,0,0
B0FDGJVFWS,"""None""","""2026-04-20""",1800,24.44,11,1524,2,0.181818,0.0136,73.65,0.0072,2.22,2,0,0,,,,,0,,0,0,0,41,,,900,0,,0,0
B0G4SFGP73,"""None""","""2026-04-18""",1514.28,56.36,24,1361,2,0.083333,0.0372,26.87,0.0176,2.35,2,757.14,1,,,,,757.14,7.44,1,0,0,39,200,,757.14,0,,0,0
B0FDGL4W7C,"""None""","""2026-04-27""",1422.85,37.14,13,1494,2,0.153846,0.0261,38.31,0.0087,2.86,2,0,0,,,,,0,,0,0,0,25,,,711.425,0,,0,0
B0G4SG1FJB,"""None""","""2026-04-11""",757.14,2.39,1,108,1,1,0.0032,316.79,0.0093,2.39,1,757.14,1,,,,,3785.7,0.06,5,3028.56,4,642,20,,757.14,0,,0,0
B0G4SG1FJB,"""None""","""2026-04-29""",0,12.31,5,859,1,0.2,,0,0.0058,2.46,1,0,1,,,,,0,,0,0,0,308,,,0,0,,0,0
B0G4SF3MGB,"""None""","""2026-04-14""",0,44.96,19,2935,1,0.052632,,0,0.0065,2.37,1,0,0,,,,,0,,0,0,0,45,,,0,0,,0,0
B0G4SF3MGB,"""None""","""2026-04-29""",757.14,28.05,8,1222,1,0.125,0.037,26.99,0.0065,3.51,1,0,0,,,,,0,,0,0,0,14,,,757.14,0,,0,0
B0G4SB72N5,"""None""","""2026-04-18""",757.14,7.13,3,237,1,0.333333,0.0094,106.19,0.0127,2.38,1,757.14,1,,,,,0,,0,0,0,280,,,757.14,0,,0,0
B0GM77F8KJ,"""None""","""2026-04-29""",760.95,2.39,1,62,1,1,0.0031,318.39,0.0161,2.39,1,760.95,1,,,,,0,,0,0,0,3,,,760.95,0,,0,0
B0G4SCVJS9,"""None""","""2026-04-13""",757.14,21.14,9,1121,1,0.111111,0.0279,35.82,0.008,2.35,1,757.14,1,,,,,3028.56,0.7,4,2271.42,4,366,25,,757.14,0,,0,0
B0G4SCVJS9,"""None""","""2026-04-28""",757.14,15.52,5,403,1,0.2,0.0205,48.78,0.0124,3.1,1,757.14,1,,,,,1514.28,1.02,2,757.14,1,165,50,,757.14,0,,0,0
B0G4SCG54W,"""None""","""2026-04-19""",757.14,12.76,4,454,1,0.25,0.0169,59.34,0.0088,3.19,1,0,0,,,,,0,,0,0,0,7,,,757.14,0,,0,0
B0G4SCG54W,"""None""","""2026-04-20""",757.14,12.83,6,599,1,0.166667,0.0169,59.01,0.01,2.14,1,0,0,,,,,0,,0,0,0,10,,,757.14,0,,0,0
B0G4SCG54W,"""None""","""2026-04-23""",757.14,11.39,4,388,1,0.25,0.015,66.47,0.0103,2.85,1,0,0,,,,,0,,0,0,0,8,,,757.14,0,,0,0
B0G4S4BSY1,"""None""","""2026-04-18""",757.14,55.29,29,4020,1,0.034483,0.073,13.69,0.0072,1.91,1,0,0,,,,,0,,0,0,0,52,,,757.14,0,,0,0
B0G4S4BSY1,"""None""","""2026-04-21""",659.05,90.72,48,4329,1,0.020833,0.1377,7.26,0.0111,1.89,1,0,0,,,,,0,,0,0,0,74,,,659.05,0,,0,0
B0G4S4BSY1,"""None""","""2026-04-23""",757.14,71.3,39,4875,1,0.025641,0.0942,10.62,0.008,1.83,1,0,0,,,,,0,,0,0,0,55,,,757.14,0,,0,0
B0G4S4BSY1,"""None""","""2026-04-24""",757.14,47.85,26,3132,1,0.038462,0.0632,15.82,0.0083,1.84,1,0,0,,,,,0,,0,0,0,42,,,757.14,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-09""",757.14,8.29,4,719,1,0.25,0.0109,91.33,0.0056,2.07,1,0,0,,,,,0,,0,0,0,14,,,757.14,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-13""",757.14,22.21,10,883,1,0.1,0.0293,34.09,0.0113,2.22,1,0,0,,,,,0,,0,0,0,17,,,757.14,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-17""",757.14,105.31,51,4300,1,0.019608,0.1391,7.19,0.0119,2.06,1,757.14,1,,,,,0,,0,0,0,75,,,757.14,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-23""",757.14,64.41,36,3587,1,0.027778,0.0851,11.76,0.01,1.79,1,0,0,,,,,0,,0,0,0,51,,,757.14,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-28""",757.14,32.56,18,1986,1,0.055556,0.043,23.25,0.0091,1.81,1,757.14,1,,,,,0,,0,0,0,35,,,757.14,0,,0,0
