asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0CQXS7Y7Z,"""None""","""2026-04-09""",8908.56,702.68,155,18577,8,0.051613,0.0789,12.68,0.0083,4.53,8,6339.04,6,,,,,0.0,,0,0,0,226,,,1113.57,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-04-11""",9313.32,1091.55,241,35948,7,0.029046,0.1172,8.53,0.0067,4.53,7,5459.04,4,,,,,0.0,,0,0,0,351,,,1330.474286,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-04-12""",9479.99,1046.82,242,37876,7,0.028926,0.1104,9.06,0.0064,4.33,7,5305.71,4,,,,,0.0,,0,0,0,336,,,1354.284286,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-04-14""",8028.56,1044.14,220,29882,7,0.031818,0.1301,7.69,0.0074,4.75,7,5139.04,5,,,,,3854.28,27.09,3,0,0,306,208.3,,1146.937143,0,,0,0
B0FJ65V7C9,"""None""","""2026-04-12""",9322.85,5.93,2,87,7,3.0,0.0006,1572.15,0.023,2.96,6,2660.95,2,,,,,0,,0,0,0,2,,,1553.808333,0,,0,0
B0CQXRC81Y,"""None""","""2026-04-25""",9308.56,336.17,92,8277,6,0.065217,0.0361,27.69,0.0111,3.65,6,9308.56,6,,,,,1604.76,20.95,1,0,0,167,580.06,,1551.426667,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-04-05""",6254.28,618.99,141,16107,6,0.042553,0.099,10.1,0.0088,4.39,6,5054.28,4,,,,,0,,0,0,0,196,,,1042.38,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-04-06""",7539.04,552.17,120,17894,6,0.05,0.0732,13.65,0.0067,4.6,6,6254.28,5,,,,,1284.76,42.98,1,0,0,190,586.81,,1256.506667,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-04-15""",8348.56,984.65,218,29022,6,0.027523,0.1179,8.48,0.0075,4.52,6,5779.04,4,,,,,3854.28,25.55,3,0,0,326,216.6,,1391.426667,0,,0,0
B0CQXRC81Y,"""None""","""2026-04-18""",6684.76,419.29,112,12706,5,0.044643,0.0627,15.94,0.0088,3.74,5,5542.86,4,,,,,3209.52,13.06,2,0,0,183,208.28,,1336.952,0,,0,0
