Vendor Code,Master SKU,SKU,Channel,Channel SKU,Identifier,Status (Active / Inactive)
120-Navlik,IM314870NK-845-Wine-L,NK-845-Wine-L,Amazon,NK-845-Wine-L,B0G59BXCXJ,Active
120-Navlik,IM283760NK-S-Parita-Sky-XXL,NK-S-Parita-Sky-XXL,Amazon,NK-S-Parita-Sky-XXL,B0DSC6SF9W,Active
120-Navlik,IM293112NK-MV-28-Purple-S,NK-MV-28-Purple-S,Amazon,B0FR4RTGYN,B0FR4RTGYN,Active
120-Navlik,IM336011NK-944-Rust-5XL,NK-944-Rust-5XL,Amazon,NK-944-Rust-5XL,B0GLZRD66V,Active
120-Navlik,IM196170NK-504-Offwhite-L,NK-504-Offwhite-L,Amazon,NK-504-Offwhite-L,B0D6NDJLF3,Active
120-Navlik,IM195874NK-M-Pragati-Violate-XL,NK-M-Pragati-Violate-XL,Amazon,NK-M-Pragati-Violate-XL,B0DKPDDG9Z,Active
120-Navlik,IM335879NK-933-Wine-4XL,NK-933-Wine-4XL,Amazon,NK-933-Wine-4XL,B0GLZS8G8M,Active
120-Navlik,IM307474NK-MV-31-Wine-L,NK-MV-31-Wine-L,Amazon,NK-MV-31-Wine-L,B0G44B3TVV,Active
120-Navlik,IM335525NK-696-Mustard-5XL,NK-696-Mustard-5XL,Amazon,NK-696-Mustard-5XL,B0GLZP5C3P,Active
120-Navlik,IM204238NK-628-White-XXL,NK-628-White-XXL,Amazon,NK-628-White-XXL,B0DRFTY6QR,Active
120-Navlik,IM196182NK-564-White-XXL,NK-564-White-XXL,Amazon,NK-564-White-XXL,B0DKPDKF9F,Active
120-Navlik,IM204231NK-628-Mustard-XL,NK-628-Mustard-XL,Amazon,NK-628-Mustard-XL,B0DRG2RV11,Active
120-Navlik,IM255377NK-762-Light-Green-L,NK-762-Light-Green-L,Amazon,NK-762-Light-Green-L,B0F9YW35JM,Active
120-Navlik,IM336729NK-WD37-Peach-M,NK-WD37-Peach-M,Amazon,NK-WD37-Peach-M,B0GMRT65LD,Active
120-Navlik,IM321502NK-Payal-Pink-3XL,NK-Payal-Pink-3XL,Amazon,NK-Payal-Pink-3XL,B0GFDMK88N,Active
120-Navlik,IM195891NK-558-Yellow-S,NK-558-Yellow-S,Amazon,NK-558-Yellow-S,B0DP7LKMS2,Active
120-Navlik,IM203634NK-595-Baby Pink-L,NK-595-Baby Pink-L,Amazon,NK-595-Baby Pink-L,B0DQ59R3LM,Active
120-Navlik,IM289320NK-781-Babypink-L,NK-781-Babypink-L,Amazon,NK-781-Babypink-L,B0FHQ1RJYG,Active
120-Navlik,IM204236NK-628-White-S,NK-628-White-S,Amazon,NK-628-White-S,B0DRFVDGXX,Active
120-Navlik,IM336652NK-WF-Daniel-63,NK-WF-Daniel-63,Amazon,NK-WF-Daniel-63,B0GLPFM2HY,Active
120-Navlik,IM307470NK-S-Mannat-Orange-XXL,NK-S-Mannat-Orange-XXL,Amazon,NK-S-Mannat-Orange-XXL,B0G44BBDDT,Active
120-Navlik,IM336175NK-953-Rani-XL,NK-953-Rani-XL,Amazon,NK-953-Rani-XL,B0GMH6K5F6,Active
120-Navlik,IM204182NK-653-Gajri-M,NK-653-Gajri-M,Amazon,NK-653-Gajri-M,B0DSJ7RZQ1,Active
