Vendor Code,Master SKU,SKU,Channel,Channel SKU,Identifier,Status (Active / Inactive)
156-Zartha,IM338784ZA_KURTA1500_SINGLE_NAVY_M,ZA_KURTA1500_SINGLE_NAVY_M,Amazon,ZA_KURTA1500_SINGLE_NAVY_M,B0FG2VVBFS,Active
156-Zartha,IM256345MD_600_MAROON_2XL,MD_600_MAROON_2XL,Amazon,MD_600_MAROON_2XL,B0F9FMXZR7,Active
156-Zartha,IM2555381100_RAMA-WHITE_XL,1100_RAMA-WHITE_XL,Amazon,1100_RAMA-WHITE_XL,B0F9LBLF8Q,Active
156-Zartha,IM256382MD_KURTA1600__WHITE_2XL,MD_KURTA1600__WHITE_2XL,Amazon,MD_KURTA1600__WHITE_2XL,B0DCKD4V7M,Active
156-Zartha,IM256453MD_5900_SATIN SHIRT_BLACK_S,MD_5900_SATIN SHIRT_BLACK_S,Amazon,MD_5900_SATIN SHIRT_BLACK_S,B0DVT5F8NN,Active
156-Zartha,IM344111HQ_KURTA1500_SINGLE_PINK_3XL,HQ_KURTA1500_SINGLE_PINK_3XL,Amazon,HQ_KURTA1500_SINGLE_PINK_3XL,B0FG2V6QQP,Active
156-Zartha,IM257394MD_KURTA1500_2COMBO_NAVY & MAROON_2XL,MD_KURTA1500_2COMBO_NAVY & MAROON_2XL,Amazon,MD_KURTA1500_2COMBO_NAVY & MAROON_2XL,B0DCKC7NLZ,Active
156-Zartha,IM080972600 : BLACK : 44,600 : BLACK : 44,Amazon,600 : BLACK : 44,B09BZF8D33,Active
156-Zartha,IM079243KURTA800COMBO_WHITE_SKYBLUE_L,KURTA800COMBO_WHITE_SKYBLUE_L,Amazon,KURTA800COMBO_WHITE_SKYBLUE_L,B0BZDQTNJ8,Active
156-Zartha,IM257855KURTA1600_3COM_WHITE-LYELLOW-RED_M,KURTA1600_3COM_WHITE-LYELLOW-RED_M,Amazon,KURTA1600_3COM_WHITE-LYELLOW-RED_M,B0D9RVCVMQ,Active
156-Zartha,IM080294KURTA800_LIGHT PINK_S,KURTA800_LIGHT PINK_S,Amazon,KURTA800_LIGHT PINK_S,B0BYVW3GT9,Active
156-Zartha,IM344241HQ_KURTA1502_YELLOW_XL,HQ_KURTA1502_YELLOW_XL,Amazon,HQ_KURTA1502_YELLOW_XL,B0FPMMW2QW,Active
156-Zartha,IM256500MD_5900_SATIN SHIRT_R BLUE_2XL,MD_5900_SATIN SHIRT_R BLUE_2XL,Amazon,MD_5900_SATIN SHIRT_R BLUE_2XL,B0DVT5FZQT,Active
156-Zartha,IM343890HQ_KURTA1502_AQUA_L,HQ_KURTA1502_AQUA_L,Amazon,HQ_KURTA1502_AQUA_L,B0FPMN2LQV,Active
156-Zartha,IM256969MD_SUGARCANE_LIGHT GREEN_2XL,MD_SUGARCANE_LIGHT GREEN_2XL,Amazon,MD_SUGARCANE_LIGHT GREEN_2XL,B0DS67QW9H,Active
156-Zartha,IM256587MD_KURTA1500_SINGLE_MAROON_M,MD_KURTA1500_SINGLE_MAROON_M,Amazon,MD_KURTA1500_SINGLE_MAROON_M,B0DCKB75XD,Active
156-Zartha,IM344030HQ_KURTA1502_AQUA_4XL,HQ_KURTA1502_AQUA_4XL,Amazon,HQ_KURTA1502_AQUA_4XL,B0FPMPRTHQ,Active
156-Zartha,IM257409MD_KURTA1500_2COMBO_RAMA & BLACK_2XL,MD_KURTA1500_2COMBO_RAMA & BLACK_2XL,Amazon,MD_KURTA1500_2COMBO_RAMA & BLACK_2XL,B0DCKDH5C9,Active
156-Zartha,IM257357MD_KURTA1500_2COMBO_BLACK & RED_S,MD_KURTA1500_2COMBO_BLACK & RED_S,Amazon,MD_KURTA1500_2COMBO_BLACK & RED_S,B0DCKCLGW6,Active
