asin,sku,date,sales,spend,clicks,impressions,orders,conversion_rate,acos,roas,ctr,cpc,conversions,same_sku_sales,same_sku_orders,daily_budget,total_budget,max_spend,avg_spend,total_sales,total_acos,total_units,organic_sales,organic_orders,page_views,ad_sales_perc,tos_is,aov,sessions,buy_box_percentage,browser_sessions,mobile_app_sessions
B0F32RNHF3,"""None""","""2026-03-01""",618.1,109.15,30,10249,1,0.033333,0.1766,5.66,0.0029,3.64,1,618.1,1,,,,,0,,0,0,0,32,,,618.1,0,,0,0
B0FFTPWYKT,"""None""","""2026-03-17""",471.43,2.46,1,103,1,1,0.0052,191.64,0.0097,2.46,1,471.43,1,,,,,0,,0,0,0,1,,,471.43,0,,0,0
B0FGVKSHX3,"""None""","""2026-03-01""",703.81,46.24,9,1107,1,0.111111,0.0657,15.22,0.0081,5.14,1,703.81,1,,,,,0,,0,0,0,8,,,703.81,0,,0,0
B0F32WPLSH,"""None""","""2026-03-10""",665.71,99.84,36,9832,1,0.027778,0.15,6.67,0.0037,2.77,1,665.71,1,,,,,0,,0,0,0,41,,,665.71,0,,0,0
B0F32WPLSH,"""None""","""2026-03-11""",665.71,118.96,45,10428,1,0.022222,0.1787,5.6,0.0043,2.64,1,665.71,1,,,,,0,,0,0,0,56,,,665.71,0,,0,0
B0FFTPWYWP,"""None""","""2026-03-24""",471.43,9.48,3,59,1,0.333333,0.0201,49.73,0.0508,3.16,1,471.43,1,,,,,475.24,1.99,1,3.81,0,10,99.2,,471.43,0,,0,0
B0F32SM3D3,"""None""","""2026-03-30""",661.9,9.96,2,142,1,0.5,0.015,66.46,0.0141,4.98,1,661.9,1,,,,,0,,0,0,0,2,,,661.9,0,,0,0
B0CTP4ZPKQ,"""None""","""2026-03-08""",333.33,8.56,5,143,1,0.2,0.0257,38.94,0.035,1.71,1,333.33,1,,,,,0,,0,0,0,12,,,333.33,0,,0,0
B0CTNJL4TZ,"""None""","""2026-03-10""",494.29,1.77,1,30,1,1,0.0036,279.26,0.0333,1.77,1,494.29,1,,,,,0,,0,0,0,2,,,494.29,0,,0,0
B0FGVJZ2PD,"""None""","""2026-03-02""",703.81,18.61,4,477,1,0.25,0.0264,37.82,0.0084,4.65,1,703.81,1,,,,,0,,0,0,0,6,,,703.81,0,,0,0
B0F32RHNR3,"""None""","""2026-03-09""",665.71,3.46,1,121,1,1,0.0052,192.4,0.0083,3.46,1,665.71,1,,,,,0,,0,0,0,5,,,665.71,0,,0,0
B0F32RHNR3,"""None""","""2026-03-13""",665.71,3.22,1,111,1,1,0.0048,206.74,0.009,3.22,1,665.71,1,,,,,1331.42,0.24,2,665.71,1,3,50,,665.71,0,,0,0
B0F32RHNR3,"""None""","""2026-03-27""",661.9,16.05,5,270,1,0.2,0.0242,41.24,0.0185,3.21,1,661.9,1,,,,,0,,0,0,0,6,,,661.9,0,,0,0
B0CTNTVJMQ,"""None""","""2026-03-14""",494.29,67.23,41,10411,1,0.02439,0.136,7.35,0.0039,1.64,1,494.29,1,,,,,0,,0,0,0,55,,,494.29,0,,0,0
B0FGVL215F,"""None""","""2026-03-09""",760.95,26.03,5,1010,1,0.2,0.0342,29.23,0.005,5.21,1,760.95,1,,,,,0,,0,0,0,5,,,760.95,0,,0,0
B0CTP1X9LW,"""None""","""2026-03-06""",456.19,3.29,2,24,1,0.5,0.0072,138.66,0.0833,1.65,1,456.19,1,,,,,456.19,0.72,1,0,0,14,100,,456.19,0,,0,0
B0F32SYQC8,"""None""","""2026-03-12""",665.71,115.67,40,9778,1,0.025,0.1738,5.76,0.0041,2.89,1,665.71,1,,,,,0,,0,0,0,51,,,665.71,0,,0,0
B0F32WZTFY,"""None""","""2026-03-24""",380,3.6,1,103,1,1,0.0095,105.56,0.0097,3.6,1,0,0,,,,,0,,0,0,0,2,,,380,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-01""",456.19,28.98,22,2581,1,0.045455,0.0635,15.74,0.0085,1.32,1,456.19,1,,,,,0,,0,0,0,28,,,456.19,0,,0,0
