asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0G3XNN6ZV,"""None""","""2026-05-23""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-24""",0,0,0,42,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-25""",0,0,0,35,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-26""",0,0,0,23,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-27""",0,0,0,9,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-28""",0,0,0,15,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-30""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-31""",0,0,0,3,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0GCHWXY6Q,"""None""","""2026-05-22""",0,0,0,3,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-23""",0,0,0,14,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-24""",0,0,0,18,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-25""",0,0,0,16,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-26""",0,0,0,29,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-27""",0,0,0,52,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-28""",0,0,0,4,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-29""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-30""",0,0,0,6,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GCHWXY6Q,"""None""","""2026-05-31""",0,0,0,51,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0G4VWZWNQ,"""None""","""2026-05-22""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
