Vendor Code,Master SKU,SKU,Channel,Channel SKU,Identifier,Status (Active / Inactive)
129-N.b.f Fashion,IM037108Mens Dark Pink Embroidery Kurta - XL,Mens Dark Pink Embroidery Kurta - XL,Amazon,Mens Dark Pink Embroidery Kurta - XL,B0BWTMFJ7Z,Active
129-N.b.f Fashion,IM271414Mens Lime Green Seq Kurta Set - M,Mens Lime Green Seq Kurta Set - M,Amazon,Mens Lime Green Seq Kurta Set - M,B0F9X6FMRS,Active
129-N.b.f Fashion,IM034990Mens (A) Black Pattern Indo -S,Mens (A) Black Pattern Indo -S,Amazon,Mens (A) Black Pattern Indo -S,B0CR7RH84K,Active
129-N.b.f Fashion,IM037608Mens R.Red Indo - XL,Mens R.Red Indo - XL,Amazon,Mens R.Red Indo - XL,B09SYVZH9X,Active
129-N.b.f Fashion,IM036450Blue-White Embro Kurta-XL,Blue-White Embro Kurta-XL,Amazon,Blue-White Embro Kurta-XL,B0CBSJ5R72,Active
129-N.b.f Fashion,IM035667Mens Yellow JQ Ranveer Indo-S,Mens Yellow JQ Ranveer Indo-S,Amazon,Mens Yellow JQ Ranveer Indo-S,B0BXH5L1WK,Active
129-N.b.f Fashion,IM037811Mens Stylish Ranver Red  Indo- XL,Mens Stylish Ranver Red Indo- XL,Amazon,Mens Stylish Ranver Red Indo- XL,B09FTG86KC,Active
129-N.b.f Fashion,IM038439X N mens blue indo - xl,X N mens blue indo - xl,Amazon,X N mens blue indo - xl,B0966YQPZ8,Active
129-N.b.f Fashion,IM192433Mens Long White Kurta Green Koti 121- L,Mens Long White Kurta Green Koti 121- L,Amazon,Mens Long White Kurta Green Koti 121- L,B0D2LF23HK,Active
129-N.b.f Fashion,IM186408Mens Black Kurta Pattern Koti Set - XXL,Mens Black Kurta Pattern Koti Set - XXL,Amazon,Mens Black Kurta Pattern Koti Set - XXL,B0DCZPD53Z,Active
129-N.b.f Fashion,IM035065Mens Black Pattern Indo - XL,Mens Black Pattern Indo - XL,Amazon,Mens Black Pattern Indo - XL,B0CR1B946P,Active
129-N.b.f Fashion,IM036988N Mens Kohli Cream Red Indo-M,N Mens Kohli Cream Red Indo-M,Amazon,N Mens Kohli Cream Red Indo-M,B0CD24M1C1,Active
129-N.b.f Fashion,IM036256N Mens Pista Embro Kurta-S,N Mens Pista Embro Kurta-S,Amazon,N Mens Pista Embro Kurta-S,B0CD2JYSD1,Active
