asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0C8DDKW49,"""None""","""2026-05-28""",1713.33,31.01,13,1067,1,0.076923,0.0181,55.25,0.0122,2.39,1,0,0,,,,,0,,0,0,0,24,,,1713.33,0,,0,0
B0CQXS736Z,"""None""","""2026-05-02""",1199.05,45.04,11,1671,1,0.090909,0.0376,26.62,0.0066,4.09,1,1199.05,1,,,,,0.0,,0,0,0,30,,,1199.05,0,,0,0
B0CQXS736Z,"""None""","""2026-05-05""",1604.76,38.41,9,1715,1,0.111111,0.0239,41.78,0.0052,4.27,1,1604.76,1,,,,,0.0,,0,0,0,25,,,1604.76,0,,0,0
B0CQXS736Z,"""None""","""2026-05-06""",1199.05,24.23,7,1656,1,0.142857,0.0202,49.49,0.0042,3.46,1,1199.05,1,,,,,1199.05,2.02,1,0,0,17,100.0,,1199.05,0,,0,0
B0CQXS736Z,"""None""","""2026-05-14""",1140.0,77.01,11,1774,1,0.090909,0.0676,14.8,0.0062,7.0,1,1140.0,1,,,,,0.0,,0,0,0,22,,,1140.0,0,,0,0
B0D96MT8MW,"""None""","""2026-05-02""",884.76,73.61,52,10006,1,0.019231,0.0832,12.02,0.0052,1.42,1,884.76,1,,,,,884.76,8.32,1,0,0,56,100.0,,884.76,0,,0,0
B0D96LNPZD,"""None""","""2026-05-08""",2332.38,26.46,12,3270,1,0.083333,0.0113,88.15,0.0037,2.21,1,0,0,,,,,0,,0,0,0,12,,,2332.38,0,,0,0
B0D96LNPZD,"""None""","""2026-05-12""",1522.86,8.7,5,1225,1,0.2,0.0057,175.04,0.0041,1.74,1,0,0,,,,,0,,0,0,0,5,,,1522.86,0,,0,0
B0D96LNPZD,"""None""","""2026-05-13""",677.14,13.99,7,1538,1,0.142857,0.0207,48.4,0.0046,2.0,1,0,0,,,,,0,,0,0,0,8,,,677.14,0,,0,0
B0D7MY6MQF,"""None""","""2026-05-02""",1197.14,20.67,3,855,1,0.333333,0.0173,57.92,0.0035,6.89,1,1197.14,1,,,,,0,,0,0,0,3,,,1197.14,0,,0,0
